"Plot Title: Saranac_River_Site1_2021_Pendant"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10626007, SEN S/N: 10626007)","Intensity, Lux (LGR S/N: 10626007, SEN S/N: 10626007)","Coupler Attached (LGR S/N: 10626007)","Host Connected (LGR S/N: 10626007)","End Of File (LGR S/N: 10626007)"
1,04/01/21 03:00:00 PM,21.951,10.8,,,
2,04/01/21 03:30:00 PM,21.951,0.0,,,
3,04/01/21 04:00:00 PM,20.996,96.9,,,
4,04/01/21 04:30:00 PM,16.046,64.6,,,
5,04/01/21 05:00:00 PM,15.855,32.3,,,
6,04/01/21 05:30:00 PM,16.141,21.5,,,
7,04/01/21 06:00:00 PM,16.237,53.8,,,
8,04/01/21 06:30:00 PM,16.141,32.3,,,
9,04/01/21 07:00:00 PM,16.332,32.3,,,
10,04/01/21 07:30:00 PM,16.427,53.8,,,
11,04/01/21 08:00:00 PM,16.523,53.8,,,
12,04/01/21 08:30:00 PM,14.804,53.8,,,
13,04/01/21 09:00:00 PM,15.855,10.8,,,
14,04/01/21 09:30:00 PM,16.141,10.8,,,
15,04/01/21 10:00:00 PM,16.237,0.0,,,
16,04/01/21 10:30:00 PM,16.332,0.0,,,
17,04/01/21 11:00:00 PM,16.332,0.0,,,
18,04/01/21 11:30:00 PM,16.427,0.0,,,
19,04/02/21 12:00:00 AM,16.523,0.0,,,
20,04/02/21 12:30:00 AM,16.523,0.0,,,
21,04/02/21 01:00:00 AM,16.427,0.0,,,
22,04/02/21 01:30:00 AM,16.427,0.0,,,
23,04/02/21 02:00:00 AM,16.427,0.0,,,
24,04/02/21 02:30:00 AM,16.427,0.0,,,
25,04/02/21 03:00:00 AM,16.427,0.0,,,
26,04/02/21 03:30:00 AM,16.332,0.0,,,
27,04/02/21 04:00:00 AM,16.332,0.0,,,
28,04/02/21 04:30:00 AM,16.237,0.0,,,
29,04/02/21 05:00:00 AM,16.237,0.0,,,
30,04/02/21 05:30:00 AM,16.237,0.0,,,
31,04/02/21 06:00:00 AM,16.141,0.0,,,
32,04/02/21 06:30:00 AM,16.141,0.0,,,
33,04/02/21 07:00:00 AM,16.141,0.0,,,
34,04/02/21 07:30:00 AM,16.046,0.0,,,
