"Plot Title: Win_Ethan_Allen_Park"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20571737, SEN S/N: 20571737)","Coupler Detached (LGR S/N: 20571737)","Coupler Attached (LGR S/N: 20571737)","Stopped (LGR S/N: 20571737)","End Of File (LGR S/N: 20571737)"
122,04/17/21 03:00:00 PM,7.116,,,,
123,04/17/21 04:00:00 PM,7.091,,,,
124,04/17/21 05:00:00 PM,6.990,,,,
125,04/17/21 06:00:00 PM,6.889,,,,
126,04/17/21 07:00:00 PM,6.940,,,,
127,04/17/21 08:00:00 PM,6.965,,,,
128,04/17/21 09:00:00 PM,6.940,,,,
129,04/17/21 10:00:00 PM,6.813,,,,
130,04/17/21 11:00:00 PM,6.636,,,,
131,04/18/21 12:00:00 AM,6.535,,,,
132,04/18/21 01:00:00 AM,6.458,,,,
133,04/18/21 02:00:00 AM,6.408,,,,
134,04/18/21 03:00:00 AM,6.331,,,,
135,04/18/21 04:00:00 AM,6.230,,,,
136,04/18/21 05:00:00 AM,6.153,,,,
137,04/18/21 06:00:00 AM,6.077,,,,
138,04/18/21 07:00:00 AM,6.051,,,,
139,04/18/21 08:00:00 AM,6.026,,,,
140,04/18/21 09:00:00 AM,6.051,,,,
141,04/18/21 10:00:00 AM,6.051,,,,
142,04/18/21 11:00:00 AM,6.026,,,,
143,04/18/21 12:00:00 PM,6.026,,,,
144,04/18/21 01:00:00 PM,6.077,,,,
145,04/18/21 02:00:00 PM,6.128,,,,
146,04/18/21 03:00:00 PM,6.281,,,,
147,04/18/21 04:00:00 PM,6.484,,,,
148,04/18/21 05:00:00 PM,6.687,,,,
149,04/18/21 06:00:00 PM,6.839,,,,
150,04/18/21 07:00:00 PM,6.914,,,,
151,04/18/21 08:00:00 PM,7.091,,,,
152,04/18/21 09:00:00 PM,7.242,,,,
153,04/18/21 10:00:00 PM,7.368,,,,
154,04/18/21 11:00:00 PM,7.444,,,,
155,04/19/21 12:00:00 AM,7.393,,,,
156,04/19/21 01:00:00 AM,7.343,,,,
157,04/19/21 02:00:00 AM,7.293,,,,
158,04/19/21 03:00:00 AM,7.268,,,,
159,04/19/21 04:00:00 AM,7.343,,,,
160,04/19/21 05:00:00 AM,7.393,,,,
161,04/19/21 06:00:00 AM,7.419,,,,
162,04/19/21 07:00:00 AM,7.393,,,,
163,04/19/21 08:00:00 AM,7.393,,,,
164,04/19/21 09:00:00 AM,7.393,,,,
165,04/19/21 10:00:00 AM,7.444,,,,
166,04/19/21 11:00:00 AM,7.519,,,,
167,04/19/21 12:00:00 PM,7.594,,,,
168,04/19/21 01:00:00 PM,7.745,,,,
169,04/19/21 02:00:00 PM,7.970,,,,
170,04/19/21 03:00:00 PM,8.245,,,,
171,04/19/21 04:00:00 PM,8.494,,,,
172,04/19/21 05:00:00 PM,8.593,,,,
173,04/19/21 06:00:00 PM,8.693,,,,
174,04/19/21 07:00:00 PM,8.742,,,,
175,04/19/21 08:00:00 PM,8.767,,,,
176,04/19/21 09:00:00 PM,8.841,,,,
177,04/19/21 10:00:00 PM,8.866,,,,
